Sexe,PaysNat.,Doublement,DateEntrée,DateSortie,AdhesionTransport,CodeRegime,LibRegime,CleGestionMatEnseignee1,LibMatEnseignee1,CleGestionMatEnseignee2,LibMatEnseignee2,CodeModaliteElect2,LibModaliteElect2,CleGestionMatEnseignee3,LibMatEnseignee3,CodeModaliteElect3,LibModaliteElect3,CleGestionMatEnseignee4,LibMatEnseignee4,CodeModaliteElect4,LibModaliteElect4,CleGestionMatEnseigne5,LibMatEnseignee5,CodeModaliteElect5,LibModaliteElect5,CleGestionMatEnseigne6,LibMatEnseignee6,CodeModaliteElect6,LibModaliteElect6
M,FRANCE,N,05/09/2011,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,04/09/2012,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2013,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2013,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,ITA3,ITALIEN LV3,F,FACULTATIF,,,,,,,,
F,FRANCE,N,03/09/2013,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,16/10/2017,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,,O,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2013,31/08/2018,O,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,SENEGAL,O,03/09/2013,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,31/08/2018,O,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,09/03/2013,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,03/09/2013,22/09/2017,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,04/09/2017,N,2,DP DAN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,03/09/2013,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,O,02/09/2014,03/09/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,,,,,,,,,,,,
F,FRANCE,N,02/09/2014,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,
F,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,
M,FRANCE,N,02/09/2014,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ISCNU,INFORMATIQ.SC.NUMERI,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,
M,FRANCE,N,02/09/2014,15/01/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,01/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ESP 8,LITT. ESPAGNOL,O,OBLIGATOIR,AGL4,ANGLAIS APPROFONDI,O,OBLIGATOIR,,,,,,,,
F,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ESP 8,LITT. ESPAGNOL,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,
M,FRANCE,O,02/09/2014,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ISCNU,INFORMATIQ.SC.NUMERI,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,02/09/2014,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,AGL4,ANGLAIS APPROFONDI,O,OBLIGATOIR,,,,,,,,
F,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,02/09/2014,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,ITA3,ITALIEN LV3,F,FACULTATIF,,,,,,,,
F,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ESP 8,LITT. ESPAGNOL,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,
M,FRANCE,N,02/09/2014,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,02/09/2014,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,ITA3,ITALIEN LV3,F,FACULTATIF,,,,,,,,
M,FRANCE,N,02/09/2014,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,O,02/09/2014,,N,0,EXTERN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,02/09/2014,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,02/09/2014,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,02/09/2014,04/09/2017,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,02/09/2014,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,O,15/10/2018,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ITA2,ITALIEN LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,02/09/2014,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,18/12/2017,,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,02/09/2014,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,02/09/2014,09/01/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,02/09/2014,27/11/2017,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,SENEGAL,N,05/12/2017,14/12/2017,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,
F,FRANCE,N,02/09/2014,04/09/2017,N,2,DP DAN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,O,OBLIGATOIR,AGL9,ANGLAIS LV SECTION,F,FACULTATIF,MUSIQ,MUSIQUE,F,FACULTATIF
F,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,02/09/2014,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,03/02/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ISCNU,INFORMATIQ.SC.NUMERI,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PH-CH,PHYSIQUE-CHIMIE,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ITA2,ITALIEN LV2,O,OBLIGATOIR,PH-CH,PHYSIQUE-CHIMIE,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,O,01/09/2015,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,AGL4,ANGLAIS APPROFONDI,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,PH-CH,PHYSIQUE-CHIMIE,O,OBLIGATOIR,EPS,ED.PHYSIQUE & SPORT.,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2015,26/11/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,01/09/2015,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2015,16/10/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,,,,,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,AGL4,ANGLAIS APPROFONDI,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,MUSIQ,MUSIQUE,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,AGL4,ANGLAIS APPROFONDI,O,OBLIGATOIR,,,,,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,ITA3,ITALIEN LV3,O,OBLIGATOIR,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PH-CH,PHYSIQUE-CHIMIE,O,OBLIGATOIR,MUSIQ,MUSIQUE,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,ITA3,ITALIEN LV3,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,ITA3,ITALIEN LV3,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,PH-CH,PHYSIQUE-CHIMIE,O,OBLIGATOIR,MUSIQ,MUSIQUE,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,ITA3,ITALIEN LV3,O,OBLIGATOIR,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,AGL4,ANGLAIS APPROFONDI,O,OBLIGATOIR,MUSIQ,MUSIQUE,F,FACULTATIF,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ITA2,ITALIEN LV2,O,OBLIGATOIR,PH-CH,PHYSIQUE-CHIMIE,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,,,,,
M,FRANCE,O,19/09/2018,,N,0,EXTERN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,MAROC,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,ITA3,ITALIEN LV3,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SVT,SCIENCES VIE & TERRE,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ESP 8,LITT. ESPAGNOL,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,O,OBLIGATOIR,,,,,,,,
F,FRANCE,N,01/09/2015,,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,,N,24,DP 4 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ESP 8,LITT. ESPAGNOL,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,ITA3,ITALIEN LV3,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,SSPOL,SC.SOC. & POLITIQUES,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,AGL4,ANGLAIS APPROFONDI,O,OBLIGATOIR,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PH-CH,PHYSIQUE-CHIMIE,O,OBLIGATOIR,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,,,,,,,,,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ALL2,ALLEMAND LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,PH-CH,PHYSIQUE-CHIMIE,O,OBLIGATOIR,ITA3,ITALIEN LV3,F,FACULTATIF,,,,,,,,
F,FRANCE,N,01/09/2015,31/08/2018,N,2,DP DAN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,AGL 8,LITT. ANGLAIS,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,A-PLA,ARTS PLASTIQUES,F,FACULTATIF,,,,
M,FRANCE,N,01/09/2015,31/08/2018,N,0,EXTERN,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,,,,,,,,,,,,
M,FRANCE,N,01/09/2015,,N,25,DP 5 J,AGL1,ANGLAIS LV1,ESP2,ESPAGNOL LV2,O,OBLIGATOIR,ESP 8,LITT. ESPAGNOL,O,OBLIGATOIR,MATHS,MATHEMATIQUES,O,OBLIGATOIR,LCAGR,LCA GREC,F,FACULTATIF,,,,
